gamma,target_client_id,mu,round,num_rounds,local_epochs,test_loss,test_accuracy
0.0,3,0.0,1,20,5,2.0116,0.469
0.0,3,0.0,2,20,5,1.87,0.5589999999999999
0.0,3,0.0,3,20,5,1.6915,0.5982
0.0,3,0.0,4,20,5,1.5671,0.6152000000000001
0.0,3,0.0,5,20,5,1.4599,0.6394
0.0,3,0.0,6,20,5,1.4128,0.6459999999999999
0.0,3,0.0,7,20,5,1.3514,0.6562
0.0,3,0.0,8,20,5,1.3009,0.6697
0.0,3,0.0,9,20,5,1.2314,0.6859000000000001
0.0,3,0.0,10,20,5,1.216,0.6933
0.0,3,0.0,11,20,5,1.1787,0.7099
0.0,3,0.0,12,20,5,1.1463,0.7256
0.0,3,0.0,13,20,5,1.1352,0.7329000000000001
0.0,3,0.0,14,20,5,1.0994,0.7467
0.0,3,0.0,15,20,5,1.1012,0.7491
0.0,3,0.0,16,20,5,1.0638,0.7615000000000001
0.0,3,0.0,17,20,5,1.0503,0.7663
0.0,3,0.0,18,20,5,1.0511,0.769
0.0,3,0.0,19,20,5,1.0481,0.7696
0.0,3,0.0,20,20,5,1.0086,0.7839
0.25,3,0.0,1,20,5,1.7762,0.4239
0.25,3,0.0,2,20,5,1.3685,0.562
0.25,3,0.0,3,20,5,1.1,0.6194
0.25,3,0.0,4,20,5,0.9254,0.7081000000000001
0.25,3,0.0,5,20,5,0.8006,0.7606
0.25,3,0.0,6,20,5,0.7358,0.7779
0.25,3,0.0,7,20,5,0.6835,0.7906
0.25,3,0.0,8,20,5,0.6516,0.7984
0.25,3,0.0,9,20,5,0.6031,0.8151
0.25,3,0.0,10,20,5,0.5905,0.8161
0.25,3,0.0,11,20,5,0.5659,0.8226
0.25,3,0.0,12,20,5,0.5496,0.8271999999999999
0.25,3,0.0,13,20,5,0.543,0.8281999999999999
0.25,3,0.0,14,20,5,0.5209,0.8362999999999999
0.25,3,0.0,15,20,5,0.526,0.8332999999999999
0.25,3,0.0,16,20,5,0.4985,0.8417
0.25,3,0.0,17,20,5,0.488,0.846
0.25,3,0.0,18,20,5,0.4879,0.8452
0.25,3,0.0,19,20,5,0.4842,0.8453
0.25,3,0.0,20,20,5,0.4707,0.8504999999999999
0.5,3,0.0,1,20,5,1.6565,0.3884
0.5,3,0.0,2,20,5,1.0988,0.6199
0.5,3,0.0,3,20,5,0.8313,0.7382
0.5,3,0.0,4,20,5,0.6876,0.7789
0.5,3,0.0,5,20,5,0.5964,0.8089
0.5,3,0.0,6,20,5,0.5452,0.8249
0.5,3,0.0,7,20,5,0.5203,0.8327
0.5,3,0.0,8,20,5,0.5096,0.8334
0.5,3,0.0,9,20,5,0.4751,0.8462000000000001
0.5,3,0.0,10,20,5,0.461,0.8515
0.5,3,0.0,11,20,5,0.4443,0.8567
0.5,3,0.0,12,20,5,0.4319,0.8626
0.5,3,0.0,13,20,5,0.4377,0.8592
0.5,3,0.0,14,20,5,0.4183,0.866
0.5,3,0.0,15,20,5,0.4242,0.8612000000000001
0.5,3,0.0,16,20,5,0.3989,0.8706999999999999
0.5,3,0.0,17,20,5,0.3906,0.8747
0.5,3,0.0,18,20,5,0.396,0.8715
0.5,3,0.0,19,20,5,0.3866,0.8756
0.5,3,0.0,20,20,5,0.3933,0.8728
0.75,3,0.0,1,20,5,1.6129,0.382
0.75,3,0.0,2,20,5,1.0192,0.653
0.75,3,0.0,3,20,5,0.7774,0.7415
0.75,3,0.0,4,20,5,0.6488,0.7859
0.75,3,0.0,5,20,5,0.5694,0.8125
0.75,3,0.0,6,20,5,0.5188,0.831
0.75,3,0.0,7,20,5,0.5031,0.8365
0.75,3,0.0,8,20,5,0.4971,0.8354
0.75,3,0.0,9,20,5,0.4642,0.8475
0.75,3,0.0,10,20,5,0.4461,0.8539
0.75,3,0.0,11,20,5,0.4317,0.8590000000000001
0.75,3,0.0,12,20,5,0.4196,0.8632
0.75,3,0.0,13,20,5,0.4299,0.8584999999999999
0.75,3,0.0,14,20,5,0.4103,0.8652
0.75,3,0.0,15,20,5,0.4107,0.8651000000000001
0.75,3,0.0,16,20,5,0.3881,0.8739
0.75,3,0.0,17,20,5,0.3807,0.8755
0.75,3,0.0,18,20,5,0.3858,0.8754000000000001
0.75,3,0.0,19,20,5,0.3713,0.88
0.75,3,0.0,20,20,5,0.3887,0.8729
1.0,3,0.0,1,20,5,1.6187,0.3907
1.0,3,0.0,2,20,5,1.0582,0.6265999999999999
1.0,3,0.0,3,20,5,0.8277,0.7053
1.0,3,0.0,4,20,5,0.6974,0.7572
1.0,3,0.0,5,20,5,0.6109,0.7906
1.0,3,0.0,6,20,5,0.5566,0.8108
1.0,3,0.0,7,20,5,0.5433,0.815
1.0,3,0.0,8,20,5,0.5366,0.8179000000000001
1.0,3,0.0,9,20,5,0.5007,0.8316
1.0,3,0.0,10,20,5,0.4806,0.8406
1.0,3,0.0,11,20,5,0.4634,0.8456
1.0,3,0.0,12,20,5,0.4494,0.8508
1.0,3,0.0,13,20,5,0.4598,0.8461
1.0,3,0.0,14,20,5,0.4382,0.8548
1.0,3,0.0,15,20,5,0.4355,0.8554
1.0,3,0.0,16,20,5,0.414,0.8636
1.0,3,0.0,17,20,5,0.4074,0.8667
1.0,3,0.0,18,20,5,0.4131,0.8634000000000001
1.0,3,0.0,19,20,5,0.3946,0.8711
1.0,3,0.0,20,20,5,0.4162,0.8593000000000001
