mu,round,local_epochs,client_i,client_j,cosine_similarity
0.0,1,5,0,1,0.21741685271263123
0.0,1,5,0,2,0.07423878461122513
0.0,1,5,0,3,0.2070569097995758
0.0,1,5,0,4,0.3273164629936218
0.0,1,5,1,2,0.6649852395057678
0.0,1,5,1,3,0.21478913724422455
0.0,1,5,1,4,0.23405347764492035
0.0,1,5,2,3,0.18809452652931213
0.0,1,5,2,4,0.41999009251594543
0.0,1,5,3,4,0.412330687046051
0.0,2,5,0,1,0.2705758512020111
0.0,2,5,0,2,0.08290303498506546
0.0,2,5,0,3,0.14708474278450012
0.0,2,5,0,4,0.38826921582221985
0.0,2,5,1,2,0.6789963841438293
0.0,2,5,1,3,0.160417377948761
0.0,2,5,1,4,0.27261146903038025
0.0,2,5,2,3,0.13125716149806976
0.0,2,5,2,4,0.47501254081726074
0.0,2,5,3,4,0.3678736388683319
0.0,3,5,0,1,0.2625892460346222
0.0,3,5,0,2,0.04628197103738785
0.0,3,5,0,3,0.01625988259911537
0.0,3,5,0,4,0.3189449608325958
0.0,3,5,1,2,0.5829215049743652
0.0,3,5,1,3,-0.0037757097743451595
0.0,3,5,1,4,0.15030714869499207
0.0,3,5,2,3,-0.032490286976099014
0.0,3,5,2,4,0.36324259638786316
0.0,3,5,3,4,0.16911672055721283
0.0,4,5,0,1,0.23470479249954224
0.0,4,5,0,2,0.01972838118672371
0.0,4,5,0,3,-0.06035804748535156
0.0,4,5,0,4,0.2644228935241699
0.0,4,5,1,2,0.5075877904891968
0.0,4,5,1,3,-0.12400887161493301
0.0,4,5,1,4,0.0801144614815712
0.0,4,5,2,3,-0.15251277387142181
0.0,4,5,2,4,0.29735684394836426
0.0,4,5,3,4,0.022951461374759674
0.0,5,5,0,1,0.2435159683227539
0.0,5,5,0,2,-0.007894386537373066
0.0,5,5,0,3,-0.11356017738580704
0.0,5,5,0,4,0.21400810778141022
0.0,5,5,1,2,0.43678319454193115
0.0,5,5,1,3,-0.193455308675766
0.0,5,5,1,4,0.024384716525673866
0.0,5,5,2,3,-0.22123654186725616
0.0,5,5,2,4,0.251230925321579
0.0,5,5,3,4,-0.07605285197496414
0.0,6,5,0,1,0.19557562470436096
0.0,6,5,0,2,-0.03884387016296387
0.0,6,5,0,3,-0.14709533751010895
0.0,6,5,0,4,0.15798263251781464
0.0,6,5,1,2,0.41113558411598206
0.0,6,5,1,3,-0.23916742205619812
0.0,6,5,1,4,-0.007312851957976818
0.0,6,5,2,3,-0.26068419218063354
0.0,6,5,2,4,0.23000553250312805
0.0,6,5,3,4,-0.12418965995311737
0.0,7,5,0,1,0.17551667988300323
0.0,7,5,0,2,-0.06094373017549515
0.0,7,5,0,3,-0.1503596305847168
0.0,7,5,0,4,0.13970986008644104
0.0,7,5,1,2,0.37152162194252014
0.0,7,5,1,3,-0.28160685300827026
0.0,7,5,1,4,-0.02309899404644966
0.0,7,5,2,3,-0.28238025307655334
0.0,7,5,2,4,0.21039776504039764
0.0,7,5,3,4,-0.1528111845254898
0.0,8,5,0,1,0.14645011723041534
0.0,8,5,0,2,-0.05959295853972435
0.0,8,5,0,3,-0.17851173877716064
0.0,8,5,0,4,0.1329088658094406
0.0,8,5,1,2,0.3510594367980957
0.0,8,5,1,3,-0.28622809052467346
0.0,8,5,1,4,-0.05572907254099846
0.0,8,5,2,3,-0.2962622046470642
0.0,8,5,2,4,0.2080240547657013
0.0,8,5,3,4,-0.16080476343631744
0.0,9,5,0,1,0.14524272084236145
0.0,9,5,0,2,-0.07842783629894257
0.0,9,5,0,3,-0.17795005440711975
0.0,9,5,0,4,0.107868492603302
0.0,9,5,1,2,0.34067243337631226
0.0,9,5,1,3,-0.2946557402610779
0.0,9,5,1,4,-0.05957616865634918
0.0,9,5,2,3,-0.318404883146286
0.0,9,5,2,4,0.19195763766765594
0.0,9,5,3,4,-0.17704060673713684
0.0,10,5,0,1,0.13036876916885376
0.0,10,5,0,2,-0.0782594159245491
0.0,10,5,0,3,-0.1875167191028595
0.0,10,5,0,4,0.07843811810016632
0.0,10,5,1,2,0.3353610932826996
0.0,10,5,1,3,-0.32720130681991577
0.0,10,5,1,4,-0.05301491171121597
0.0,10,5,2,3,-0.32827073335647583
0.0,10,5,2,4,0.1831783950328827
0.0,10,5,3,4,-0.17811691761016846
0.0,11,5,0,1,0.1463979035615921
0.0,11,5,0,2,-0.10199083387851715
0.0,11,5,0,3,-0.19155912101268768
0.0,11,5,0,4,0.0997871533036232
0.0,11,5,1,2,0.32185977697372437
0.0,11,5,1,3,-0.316031277179718
0.0,11,5,1,4,-0.06244732066988945
0.0,11,5,2,3,-0.3310444951057434
0.0,11,5,2,4,0.1731058657169342
0.0,11,5,3,4,-0.20354978740215302
0.0,12,5,0,1,0.10357873886823654
0.0,12,5,0,2,-0.10747124999761581
0.0,12,5,0,3,-0.19834449887275696
0.0,12,5,0,4,0.09686373174190521
0.0,12,5,1,2,0.32461291551589966
0.0,12,5,1,3,-0.3320043385028839
0.0,12,5,1,4,-0.08462873101234436
0.0,12,5,2,3,-0.33879363536834717
0.0,12,5,2,4,0.1493036150932312
0.0,12,5,3,4,-0.1879814863204956
0.0,13,5,0,1,0.11532162874937057
0.0,13,5,0,2,-0.10802295804023743
0.0,13,5,0,3,-0.19352366030216217
0.0,13,5,0,4,0.07492819428443909
0.0,13,5,1,2,0.31619685888290405
0.0,13,5,1,3,-0.33259132504463196
0.0,13,5,1,4,-0.08383482694625854
0.0,13,5,2,3,-0.34767434000968933
0.0,13,5,2,4,0.1340283751487732
0.0,13,5,3,4,-0.18150408565998077
0.0,14,5,0,1,0.11591991037130356
0.0,14,5,0,2,-0.11465399712324142
0.0,14,5,0,3,-0.20936308801174164
0.0,14,5,0,4,0.06667329370975494
0.0,14,5,1,2,0.3109529912471771
0.0,14,5,1,3,-0.3371575176715851
0.0,14,5,1,4,-0.09385322034358978
0.0,14,5,2,3,-0.35074833035469055
0.0,14,5,2,4,0.12351726740598679
0.0,14,5,3,4,-0.1724781095981598
0.0,15,5,0,1,0.09825581312179565
0.0,15,5,0,2,-0.10929248481988907
0.0,15,5,0,3,-0.1971384435892105
