mu,round,local_epochs,test_loss,test_accuracy
0.0,1,5,1.6187354232788085,0.3907
0.0,2,5,1.0582173143386842,0.6266
0.0,3,5,0.8276598136901856,0.7053
0.0,4,5,0.6974146670341491,0.7572
0.0,5,5,0.6108986689567566,0.7906
0.0,6,5,0.5565557597160339,0.8108
0.0,7,5,0.5433248651504516,0.815
0.0,8,5,0.5365692976474762,0.8179
0.0,9,5,0.5007310519695282,0.8316
0.0,10,5,0.4806108989715576,0.8406
0.0,11,5,0.4633515727043152,0.8456
0.0,12,5,0.4493744620800018,0.8508
0.0,13,5,0.4597569267034531,0.8461
0.0,14,5,0.4381985190153122,0.8548
0.0,15,5,0.4354506103515625,0.8554
0.0,16,5,0.41400490939617157,0.8636
0.0,17,5,0.4073790044546127,0.8667
0.0,18,5,0.4131161567687988,0.8634
0.0,19,5,0.39464914588928224,0.8711
0.0,20,5,0.4162442568063736,0.8593
0.1,1,5,1.6156149932861328,0.3945
0.1,2,5,1.0887884569168091,0.639
0.1,3,5,0.8423070768356323,0.7203
0.1,4,5,0.7044103276252747,0.7669
0.1,5,5,0.6070775032043457,0.804
0.1,6,5,0.540812962436676,0.8265
0.1,7,5,0.5129905282497406,0.8346
0.1,8,5,0.5026137860774994,0.8365
0.1,9,5,0.4688735894203186,0.848
0.1,10,5,0.4538837473869324,0.8535
0.1,11,5,0.4400793251514435,0.8573
0.1,12,5,0.42645835208892824,0.8627
0.1,13,5,0.435234202837944,0.8574
0.1,14,5,0.4171661684513092,0.8631
0.1,15,5,0.419487620139122,0.8629
0.1,16,5,0.3965886652469635,0.8712
0.1,17,5,0.39065185658931734,0.8727
0.1,18,5,0.40351099922657013,0.8682
0.1,19,5,0.3852646058320999,0.874
0.1,20,5,0.40341421954631806,0.8675
1.0,1,5,1.9502214574813843,0.2192
1.0,2,5,1.591709977722168,0.4613
1.0,3,5,1.3118231372833251,0.59
1.0,4,5,1.131871688079834,0.6477
1.0,5,5,0.9721603618621826,0.7091
1.0,6,5,0.8547143424987793,0.7581
1.0,7,5,0.7858685658454895,0.7712
1.0,8,5,0.727787501335144,0.7872
1.0,9,5,0.6784569579124451,0.8028
1.0,10,5,0.6503343322753906,0.8125
1.0,11,5,0.6161523929595947,0.8192
1.0,12,5,0.5830914099693298,0.8319
1.0,13,5,0.5735545698165894,0.8258
1.0,14,5,0.5413537783622742,0.8423
1.0,15,5,0.5366188957691193,0.8399
1.0,16,5,0.5135371300220489,0.8489
1.0,17,5,0.49289121146202086,0.8577
1.0,18,5,0.4986997144699097,0.8494
1.0,19,5,0.48114151492118834,0.8599
1.0,20,5,0.4870683184146881,0.852
