round,test_loss,test_accuracy
0,2.3133392051696777,0.1267
1,1.3309104862213135,0.6061
2,0.7718985202789307,0.8065
3,0.5709382204532624,0.854
4,0.4870548462867737,0.87
5,0.4479728295326233,0.8766
6,0.42388730416297915,0.8793
7,0.40575725948810576,0.8824
8,0.38177238438129424,0.8923
9,0.3600455122470856,0.8985
10,0.3497093112230301,0.9011
11,0.3428780747652054,0.9006
12,0.3370852719426155,0.9019
13,0.32447451059818266,0.9075
14,0.3232238587260246,0.9051
15,0.3285780117273331,0.9008
16,0.32537056324481967,0.9004
17,0.3132318462252617,0.9078
18,0.30322313446998594,0.9117
19,0.30080227546691896,0.9138
20,0.2948294538497925,0.914
