round,test_loss,test_accuracy
0,2.3133392051696777,0.1267
1,1.0047323224067688,0.8079
2,0.6072989098072052,0.8557
3,0.4829257199764252,0.882
4,0.421775777721405,0.889
5,0.3875901809692383,0.8941
6,0.36792790849208834,0.8958
7,0.35025817353725436,0.9007
8,0.3372228136062622,0.9025
9,0.3286775364637375,0.9067
10,0.3201653818845749,0.9079
11,0.3125914573311806,0.9101
12,0.30686267359256747,0.9124
13,0.3022252125620842,0.9115
14,0.29630415509939195,0.9143
15,0.2925543001770973,0.9153
16,0.2890146838784218,0.9167
17,0.2842444828867912,0.918
18,0.2862242778301239,0.9188
19,0.275632602083683,0.9213
20,0.2731080062270165,0.9199
