round,test_loss,test_accuracy,mu,alpha,local_epochs,runtime_seconds
0,2.3133392051696777,0.1267,0.0,0.1,5,1277.8004962920004
1,1.5818852432250976,0.4011,0.0,0.1,5,1277.8004962920004
2,1.073786263179779,0.6215,0.0,0.1,5,1277.8004962920004
3,0.8351907470703125,0.7035,0.0,0.1,5,1277.8004962920004
4,0.7060799896717072,0.7529,0.0,0.1,5,1277.8004962920004
5,0.5971200112819671,0.7954,0.0,0.1,5,1277.8004962920004
6,0.5826774360656738,0.7991,0.0,0.1,5,1277.8004962920004
7,0.518338949251175,0.8261,0.0,0.1,5,1277.8004962920004
8,0.48572424068450926,0.8372,0.0,0.1,5,1277.8004962920004
9,0.48189072551727297,0.8399,0.0,0.1,5,1277.8004962920004
10,0.4637725156784058,0.8461,0.0,0.1,5,1277.8004962920004
11,0.48218961067199706,0.8396,0.0,0.1,5,1277.8004962920004
12,0.4574572612285614,0.8488,0.0,0.1,5,1277.8004962920004
13,0.4526831972360611,0.8507,0.0,0.1,5,1277.8004962920004
14,0.4365066415786743,0.8573,0.0,0.1,5,1277.8004962920004
15,0.42573835077285765,0.8597,0.0,0.1,5,1277.8004962920004
16,0.42364081356525424,0.86,0.0,0.1,5,1277.8004962920004
17,0.4224313194513321,0.8619,0.0,0.1,5,1277.8004962920004
18,0.3998467341423035,0.8697,0.0,0.1,5,1277.8004962920004
19,0.39818977484703066,0.8704,0.0,0.1,5,1277.8004962920004
20,0.40725969455242156,0.866,0.0,0.1,5,1277.8004962920004
