round,test_loss,test_accuracy,mu,alpha,local_epochs,runtime_seconds
0,2.3133392051696777,0.1267,0.001,0.1,5,1285.861327986
1,1.5781598791122438,0.4018,0.001,0.1,5,1285.861327986
2,1.0718965650558472,0.6216,0.001,0.1,5,1285.861327986
3,0.8345443582534791,0.704,0.001,0.1,5,1285.861327986
4,0.705412803554535,0.7529,0.001,0.1,5,1285.861327986
5,0.5960371136665344,0.7956,0.001,0.1,5,1285.861327986
6,0.5813030608177185,0.8002,0.001,0.1,5,1285.861327986
7,0.5172214303016662,0.8264,0.001,0.1,5,1285.861327986
8,0.48469221034049986,0.8378,0.001,0.1,5,1285.861327986
9,0.4811832062959671,0.8403,0.001,0.1,5,1285.861327986
10,0.4634952156543732,0.8462,0.001,0.1,5,1285.861327986
11,0.4815866096496582,0.8399,0.001,0.1,5,1285.861327986
12,0.4563850365638733,0.8493,0.001,0.1,5,1285.861327986
13,0.4514819299697876,0.8515,0.001,0.1,5,1285.861327986
14,0.4361254289865494,0.8583,0.001,0.1,5,1285.861327986
15,0.42484837090969085,0.8597,0.001,0.1,5,1285.861327986
16,0.4227917205810547,0.86,0.001,0.1,5,1285.861327986
17,0.42199273920059205,0.8619,0.001,0.1,5,1285.861327986
18,0.3988832743883133,0.8699,0.001,0.1,5,1285.861327986
19,0.39768530848026273,0.8703,0.001,0.1,5,1285.861327986
20,0.40673106074333193,0.866,0.001,0.1,5,1285.861327986
