round,test_loss,test_accuracy
0,2.3133391918182373,0.1267
1,0.9778003227233887,0.8199
2,0.5946696896076202,0.8647
3,0.4740923386096954,0.8804
4,0.41785673384666444,0.8889
5,0.3863796244859695,0.8958
6,0.3644037640571594,0.8988
7,0.3483939876079559,0.902
8,0.3370979440450668,0.9027
9,0.3266674198150635,0.9045
10,0.31978758883476255,0.9087
11,0.31235583101511,0.9104
12,0.3062284575581551,0.9109
13,0.3005089546084404,0.9131
14,0.2950997003555298,0.914
15,0.29135621075630186,0.917
16,0.28733619334697724,0.9179
17,0.282740074467659,0.9182
18,0.2792828761458397,0.9204
19,0.2751798884868622,0.9217
20,0.2722987774729729,0.9233
