round,test_loss,test_accuracy
0,2.3133392051696777,0.1267
1,1.966491341781616,0.3301
2,1.672547423171997,0.3931
3,1.4447385766983032,0.4563
4,1.2810682498931885,0.5202
5,1.1572884647369386,0.5698
6,1.0557437297821044,0.6125
7,0.9740905351638794,0.6544
8,0.9209287906646728,0.6727
9,0.875844305229187,0.6877
10,0.8279536099433898,0.7122
11,0.7913743346214295,0.7268
12,0.7576243927001953,0.7456
13,0.7500142557144165,0.742
14,0.72712498254776,0.7507
15,0.7029108512878418,0.7631
16,0.6811549350738525,0.77
17,0.6608768992900849,0.7783
18,0.6524322083950043,0.7825
19,0.6425319770336151,0.783
20,0.6300601646423339,0.7884
