round,test_loss,test_accuracy
0,2.3133392051696777,0.1267
1,1.7756766731262208,0.3962
2,1.4487282300949096,0.4374
3,1.2112162982940673,0.4964
4,1.0370013273239136,0.5702
5,0.9171095982551575,0.6309
6,0.8277105069160462,0.6783
7,0.763137481880188,0.7101
8,0.7215065042495727,0.7257
9,0.6929539821147919,0.74
10,0.6550813808441162,0.7557
11,0.6339716628551483,0.761
12,0.6218802800178528,0.7687
13,0.6034165468215943,0.779
14,0.5867324372291565,0.7855
15,0.5860515309333801,0.786
16,0.5782981286048889,0.7882
17,0.5588145102024078,0.7966
18,0.5541603546142578,0.7988
19,0.556280272102356,0.7958
20,0.5471263513565063,0.7998
